,title,description,publishedAt,channelId,videoId,channelTitle,liveBroadcastContent
19,Who’s REALLY to Blame for the US-China Trade War?,"As the US and China gear up for an all-out trade war, China cries foul. Will tariffs on Chinese imports work? Or will it tank the economy? Trump hopes to solve ...",2018-07-18T18:00:03Z,UCgFP46yVT-GG4o1TgXn-04Q,KBDoCTgVpk4,China Uncensored,none
20,#29 What&#39;s Going on With Trump&#39;s USA China Trade War?,A Do More With Your Money special on President Donald Trump and the USA China trade war. Has Trump done a good job on the US economy? Why is ...,2020-08-07T10:00:10Z,UCSTR51Y53Mb_KAJMXmyc_kQ,oy1_v4wbEvk,True Potential LLP,none
21,The US-China trade war and how it impacts consumers - and the rest of the world | FAQ,What's at stake in the US-China trade war? What has it cost ordinary people in America and China? And what impact could it have on other economies in Asia ...,2019-05-17T23:15:00Z,UC83jt4dlz1Gjl58fzQrrKZg,SoXl_OBcczM,CNA,none
22,Yukon Huang: Trading Blows: The US-China Trade War,"The United States and China are in the trenches of a trade war, with damaging consequences for both sides. While China's economy is dependent on exports, ...",2018-12-04T18:23:20Z,UCQUNSyLcVED0hV57sJ1VFhw,_IfAzGKaSkA,World Affairs,none
23,🇨🇳 What&#39;s the endgame in the US-China trade war? | Counting the Cost (Full),The ongoing and protracted tit-for-tat trade dispute between China and the United States has intensified this week - so much so that it prompted a warning from ...,2018-09-22T13:32:00Z,UCNye-wNBqNL5ZzHSJj3l8Bg,FmMSzUN25_g,Al Jazeera English,none
24,How China Is A Loser In The US-China Trade War,Understand The US China Trade War https://www.youtube.com/playlist?list=PLkMf14VQEvTasVfukGxh5WnZ2Zn-E-VJM US President Donald Trump has ...,2019-03-08T10:39:16Z,UC_Lnb8ZHqqgLbp-7hltuT9w,eiiqSg8nSM0,CNA Insider,none
25,What would a U.S.-China trade war look like? | CNBC Explains,CNBC's Phil Han explains what a potential U.S.-China trade war could look like. ----- Subscribe to CNBC International: http://cnb.cx/2gft82z Like our Facebook ...,2017-01-23T15:29:01Z,UCo7a6riBFJ3tkeHjvkXPn1g,gZFINBUxf6Y,CNBC International,none
26,U.S.-China Trade War Will Deepen: Perch Perspectives,"Jul.14 -- Jacob Shapiro, founder and chief strategist at Perch Perspectives, discusses the U.S. ending Hong Kong's special trade status, U.S.-China relations and ...",2020-07-15T02:33:26Z,UCV61VqLMr2eIhH4f51PV0gA,znuMp3EGNwA,Bloomberg Politics,none
27,US-China Trade War: Effect on Financial Markets and Economy,"""In this video, """"US-China Trade War: Effect on Financial Markets and Economy"""", we will be talking about the trade war between China and the US.",2020-05-05T10:30:53Z,UCmkNoDHBfKzPnXWTNoYQc7A,8wkYs8eRjIQ,Stock Edge,none
28,How will the US-China trade war affect Africa?,"US President Donald Trump has imposed sanctions on Chinese and Hong Kong officials. He's also called for a ban on two Chinese-owned apps, TikTok and ...",2020-08-10T09:51:41Z,UCI3RT5PGmdi1KVp9FG_CneA,35euHF0qRqo,eNCA,none
29,What are the ripple effects of a U.S.-China trade war?,President Trump set into motion on Friday a 25 percent fee on more than 800 Chinese imported goods and China hit back with tariffs of its own on products like ...,2018-07-06T22:24:57Z,UC6ZFN9Tx6xh-skXCuRHCDpQ,qX-LVNlMRvg,PBS NewsHour,none
30,How will the US-China trade war affect Africa?,"US President Donald Trump has imposed sanctions on Chinese and Hong Kong officials. He's also called for a ban on two Chinese-owned apps, TikTok and ...",2020-08-10T09:51:41Z,UCI3RT5PGmdi1KVp9FG_CneA,35euHF0qRqo,eNCA,none
31,Impact of U.S.-China trade war felt in both countries,"For decades, the world's two largest economies — the U.S. and China — have been integrated. But the Trump administration is now trying to undo that, as an ...",2019-09-28T18:35:45Z,UC6ZFN9Tx6xh-skXCuRHCDpQ,dt2W2uOyLGw,PBS NewsHour,none
32,What’s behind Trump’s trade war with China,"Chinese and Trump administration officials are supposed to meet later this week to hammer out a trade agreement, but the challenge may be more difficult now ...",2019-05-08T00:34:01Z,UC6ZFN9Tx6xh-skXCuRHCDpQ,vWFh6uDZ0qk,PBS NewsHour,none
33,How Americans Are Losers In The US-China Trade War,Understand The US China Trade War https://www.youtube.com/playlist?list=PLkMf14VQEvTasVfukGxh5WnZ2Zn-E-VJM How China Is A Loser In The US-China ...,2019-03-07T12:39:38Z,UC_Lnb8ZHqqgLbp-7hltuT9w,XVxxxc8D2jA,CNA Insider,none
34,China hits back in trade war by raising tariffs on US goods,China has hit back against the US as the trade war between the world's largest economies escalates. (Subscribe: https://bit.ly/C4_News_Subscribe) Donald ...,2019-05-13T18:31:01Z,UCTrQ7HXWRRxr7OsOtodr2_w,avqW9zPnU3w,Channel 4 News,none
35,Trade Wars: How they work and who they impact,Experts say trade wars have historically been damaging to both the country imposing the tariffs and those having to pay them. So why is U.S. President Donald ...,2018-07-21T10:00:03Z,UChLtXXpo4Ge1ReTEboVvTDg,P2OhfgeAWb4,Global News,none
36,The causes of the US-China trade war,Subscribe to France 24 now: https://f24.my/YouTubeEN FRANCE 24 live news stream: all the latest news 24/7 https://f24.my/YTliveEN How did the US-China ...,2019-07-11T10:45:20Z,UCQfwfsi5VrQ8yKZ-UWmAEFg,9loylbpJPzY,FRANCE 24 English,none
37,The US-China Trade War Is Turning China &amp; Russia Into BFFs,"Even superpowers need friends. As tensions between the United States and China escalate over a trade war, Beijing and Moscow have been strengthening ...",2019-11-07T13:30:04Z,UC_Lnb8ZHqqgLbp-7hltuT9w,kR10enhr0I0,CNA Insider,none
38,What are the ripple effects of a U.S.-China trade war?,President Trump set into motion on Friday a 25 percent fee on more than 800 Chinese imported goods and China hit back with tariffs of its own on products like ...,2018-07-06T22:24:57Z,UC6ZFN9Tx6xh-skXCuRHCDpQ,qX-LVNlMRvg,PBS NewsHour,none
39,U.S. China Trade War Explained: How Tariffs Work &amp; Impact the Economy,Investors have no doubt heard about the trade tensions between the U.S. and China. Both countries are locked in a power struggle as they impose new tariffs on ...,2019-05-29T18:16:10Z,UCpRQuynBX9Qy9tPrcswpPag,ejuA_zdxPlI,The Motley Fool,none
40,What&#39;s at Risk for Apple in U.S.-China Trade War?,"May.28 -- Walter Piecyk, managing director and analyst at BTIG, examines the potential risks Apple Inc. faces from the trade war between the United States and ...",2019-05-28T23:02:07Z,UCIALMKvObZNtJ6AmdCLP7Lg,0N09kwJj5qQ,Bloomberg Markets and Finance,none
41,What next for the US-China trade war? | FT,"The FT's trade editor, James Politi, on the latest developments in the economic tussle between Washington and Beijing. Read more at https://on.ft.com/2YNY5pD ...",2019-08-16T00:13:10Z,UCoUxsWakJucWg46KW5RsvPw,tyoiRSWgKmw,Financial Times,none
42,US-China trade war: Why you should care - BBC News,"The world's two largest economies are at each other's throats, but what does a trade war between the US and China mean for the rest of the world, and for your ...",2018-07-05T11:55:09Z,UC16niRr50-MSBwiO3YDb3RA,-JUwSWXvp0Y,BBC News,none
43,Who is more vulnerable in the escalating U.S.-China trade war?,"China set out to retaliate against new U.S. import taxes on Chinese goods on Tuesday by saying it would levy tariffs on $60 billion worth of U.S. goods, ranging ...",2018-09-18T23:32:23Z,UC6ZFN9Tx6xh-skXCuRHCDpQ,10l8-9tTyEI,PBS NewsHour,none
44,US And China Trade War and India Role,"This Video is Only for Information purpose The trade war has negatively impacted the economies of both the United States and China. In the United States, it has ...",2020-08-08T01:27:02Z,UCi7qAUEjXJu8keqQPoCRYDA,oRNqOTyfgyE,Knowledge Tv Live,none
45,Huiyao Wang: US-China trade war &#39;unprecedented&#39; and &#39;alarming&#39; | Talk To Al Jazeera,"In early 2018, a US-China trade war broke out with the two countries eventually imposing tariffs worth billions of dollars on each others' imports. As tensions ...",2019-12-28T13:08:57Z,UCNye-wNBqNL5ZzHSJj3l8Bg,shE-6ez1tHk,Al Jazeera English,none
46,THE REAL STAKE OF THE US-CHINA TRADE WAR,Steve Bannon: Wall Street is the Investment Relations Department of the Chinese Communist Party The president is taking yet another tough stance on China by ...,2019-05-09T00:52:33Z,UCVWMVBg1RPrDlakdmbyTKBA,IilFBbejIjY,Zooming In with Simone Gao,none
47,Caviar feels the heat of US-China trade war,Subscribe to our YouTube channel here: https://sc.mp/2kAfuvJ One of the world's expensive delicacies is getting caught up in the escalating trade dispute ...,2018-08-04T02:30:02Z,UC4SUWizzKc1tptprBkWjX2Q,knvPCXZzFEs,South China Morning Post,none
48,US-China Trade War: What will be the impact on India? (BBC Hindi),अमरीका और चीन के बीच व्यापार युद्ध जारी है. इसे एक कदम और आगे बढ़ाते हुए अमरीका ने सोमवार को 200 अरब डॉलर के चीनी ...,2018-09-18T07:06:25Z,UCN7B-QD0Qgn2boVH5Q0pOWg,Km6Jrf36jmM,BBC News Hindi,none
49,These countries are benefitting from the US-China trade war | Street Signs Asia,"Vietnam, Taiwan and Mexico are some of the countries benefiting from the ongoing trade tensions as companies rethink their manufacturing processes, says ...",2019-09-27T13:00:09Z,UCF8HUTbUwPKh2Q-KpGOCVGw,fMarcu5Leh4,CNBC International TV,none
50,Germany and India to seek benefit from US-China trade war? | DW News,German Chancellor Merkel is holding trade talks in Delhi with Indian Prime Minister Modi. Among the items on the agenda are renewable energy and urban ...,2019-11-01T15:15:14Z,UCknLrEdhRCp1aegoMqRaCZg,wElg5pPRka0,DW News,none
51,U.S. -China Trade War and India - Audio Article,For VIDEO updates follow us at ------- ▻ फेसबुक : https://www.facebook.com/DrishtiMediavideos ▻ ट्विटर : https://twitter.com/DrishtiVideos ...,2019-06-10T12:11:35Z,UCzLqOSZPtUKrmSEnlH4LAvw,HQMwbBeCxmw,Drishti IAS,none
52,Garlic farmers profit from US-China trade war,"Millions of US farmers are suffering because of Trump's trade war, but not the country's garlic growers. They are actually profiting from the standoff with China.",2019-09-01T13:26:09Z,UCNye-wNBqNL5ZzHSJj3l8Bg,pCx02t1uobw,Al Jazeera English,none
53,US-China trade war: A soy bean farmer&#39;s view - BBC News,"US tariffs on $34bn (£18.2bn) of Chinese goods have come into effect, opening the way for an outright trade war between the two economic giants. American ...",2018-07-06T10:24:42Z,UC16niRr50-MSBwiO3YDb3RA,cn__YGCJKVw,BBC News,none
54,The US-China trade war&#39;s impact on Southeast Asia | The Rundown,Joseph Incalcaterra of HSBC Global Research explains why Indonesia and the Philippines could be among the least impacted countries in Southeast Asia by ...,2018-07-19T12:15:01Z,UCF8HUTbUwPKh2Q-KpGOCVGw,Ttwo6emECEg,CNBC International TV,none
55,How American Farmers Are Weathering the U.S.-China Trade War,"Dec.02 -- Tom Halverson, chief executive officer at Cobank, discusses how the U.S.-China trade war and product tariffs are impacting American farmers.",2019-12-02T20:47:36Z,UCV61VqLMr2eIhH4f51PV0gA,dWl1izeGud4,Bloomberg Politics,none
56,US-China trade war effect on American dairy farmers,"""Better days are ahead."" That is the message to U.S. dairy farmers from U.S. Secretary of Agriculture Sonny Perdue. The number of farms filing for bankruptcy in ...",2019-10-04T00:11:12Z,UCj7wKsOBhRD9Jy4yahkMRMw,rxpox1arc3Y,CGTN America,none
57,US-China trade war: US agriculture faces challenges,Farmers in the United States are facing their biggest challenge in decades as the trade war between the US and China continues. Unions say prices are falling ...,2019-08-14T10:12:08Z,UCNye-wNBqNL5ZzHSJj3l8Bg,xQR6FgIJT64,Al Jazeera English,none
58,The origins and impact of the US-China trade war,"Subscribe to our YouTube channel here: https://sc.mp/2kAfuvJ China and the US are the world's two largest trading partners, and the ongoing trade war between ...",2018-08-09T07:45:00Z,UC4SUWizzKc1tptprBkWjX2Q,xYG8Hef54ZA,South China Morning Post,none
59,First Shots Fired In The U.S.-China Trade War | Velshi &amp; Ruhle | MSNBC,"President Trump's tariffs on Chinese goods went into effect at midnight, and China's retaliatory tariffs on U.S. goods went into effect immediately after. Ali Velshi ...",2018-07-06T17:46:33Z,UCaXkIU1QidjPwiAYu6GcHjg,J8_cjHg7MR8,MSNBC,none
60,The Heat: US-China Trade War Pt 2,"To discuss this, tonight's panel includes, Yan Liang, an associate professor of Economics at Willamette University; Qinduo Xu, a senior researcher with Pangoal ...",2018-09-08T00:13:42Z,UCj7wKsOBhRD9Jy4yahkMRMw,YNXGY-luDRw,CGTN America,none
61,[NEWS IN-DEPTH] U.S.-China trade war and Korean economy,"미중 무역협상 노딜, 한국 경제 영향은? The closely-watched two-day trade talks between the U.S. and China ended without a deal... raising a red flag to the ...",2019-05-13T12:31:38Z,UCzznO4xSV8BKnUBPyswtCUw,gj2epwlD8Uk,ARIRANG NEWS,none
62,Is the US-China trade war fueling the Amazon fires?,"The Brazilian Amazon is facing its worst spate of forest fires since 2010, with news of the destruction of the world's largest rainforest last month prompting global ...",2019-09-11T11:55:10Z,UC7fWeaHhqgM4Ry-RMpM2YYw,7vdMU18k72k,TRT World,none
63,Caviar feels the heat of US-China trade war,Subscribe to our YouTube channel here: https://sc.mp/2kAfuvJ One of the world's expensive delicacies is getting caught up in the escalating trade dispute ...,2018-08-04T02:30:02Z,UC4SUWizzKc1tptprBkWjX2Q,knvPCXZzFEs,South China Morning Post,none
64,US-China: Trade war? | IN 60 SECONDS,"Is the US heading for a ""trade war"" with China? AEI's Derek Scissors argues, to the contrary, that President Trump's initial tariffs against China won't have much ...",2018-03-27T13:59:29Z,UCt8lRYpzb-sSrKFb4DT2ECw,DRGk2Njk0wo,American Enterprise Institute,none
65,These countries are benefitting from the US-China trade war | Street Signs Asia,"Vietnam, Taiwan and Mexico are some of the countries benefiting from the ongoing trade tensions as companies rethink their manufacturing processes, says ...",2019-09-27T13:00:09Z,UCF8HUTbUwPKh2Q-KpGOCVGw,fMarcu5Leh4,CNBC International TV,none
66,Could the US-China trade war provide opportunities for investors?,Hodges Funds' Eric Marshall discusses opportunities in the stock market amid the US-China trade war with L Catterton Managing Partner Michael J. Farello and ...,2019-10-02T22:32:27Z,UCEAZeUIeJs0IjQiqTCdVSIg,ZGb3lhRHWSI,Yahoo Finance,none
67,Escalation of the US-China Trade War,In this edition of Wilson Center NOW we are joined by the Director of the Kissinger Institute Robert Daly who discusses the latest in the escalating US-China ...,2019-05-16T17:16:24Z,UCckWkzE1dVhYCtAVrs3sC0g,R1e25iNVJ0M,WoodrowWilsonCenter,none
68,Can Mexico capitalise on US-China trade war?,"US President Donald Trump has doubled down on a trade war with China, with another round of tariffs to be imposed next month. The dispute has brought new ...",2019-08-10T12:27:21Z,UCNye-wNBqNL5ZzHSJj3l8Bg,UL1mWisbHoE,Al Jazeera English,none
69,US-China trade war: South Korea confirms talks with Washington on Huawei,"South Korea has confirmed it is in talks with Washington regarding Huawei, amid reports that the US is lobbying Seoul to stop using products from the Chinese ...",2019-05-23T15:06:26Z,UC83jt4dlz1Gjl58fzQrrKZg,XeVsdEheDmQ,CNA,none
70,“Tariffying” tariffs: US-China trade war affects Halloween industry,"The spookiest week on the holiday calendar is upon us. But this Halloween, it may not be the ghosts and ghouls which prove most frightening. A trade clash ...",2019-11-01T01:15:07Z,UCj7wKsOBhRD9Jy4yahkMRMw,r35seHHocaU,CGTN America,none
71,[NEWS IN-DEPTH] U.S.-China trade war and Korean economy,"미중 무역협상 노딜, 한국 경제 영향은? The closely-watched two-day trade talks between the U.S. and China ended without a deal... raising a red flag to the ...",2019-05-13T12:31:38Z,UCzznO4xSV8BKnUBPyswtCUw,gj2epwlD8Uk,ARIRANG NEWS,none
72,California garlic growers applaud Trump tariff hikes amid US-China trade war,"Subscribe to our YouTube channel for free here: https://sc.mp/subscribe-youtube Amid the escalating trade war between the US and China, many US ...",2019-06-07T14:00:02Z,UC4SUWizzKc1tptprBkWjX2Q,Fc8wWxRzqwE,South China Morning Post,none
73,Countdown to escalation of US-China trade war,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN The clock is ticking down to ...,2019-05-09T20:44:58Z,UCQfwfsi5VrQ8yKZ-UWmAEFg,QMPR9AVzGPk,FRANCE 24 English,none
74,Gravitas: U.S China Trade War: Can India Benefit ?,Indian Industry wants to make most of the Trade war.,2019-05-27T18:22:34Z,UC_gUM8rL-Lrg6O3adPW9K1g,wwho2s05SMA,WION,none
75,Here&#39;s how the China trade war might affect American retail,"Matt Shay, president and CEO of the National Retail Federation, joins ""Squawk Box"" to discuss how the U.S. China tariffs might impact the retail sector. Also at ...",2019-05-14T12:19:27Z,UCrp_UI8XtuYfpiqluWLD7Lw,ZTwQKhjDr-k,CNBC Television,none
76,Harris: U.S.-China trade war has harmed American economy,"Sen. Kamala Harris (D-CA), Democratic candidate for president, answers an audience question about how she would address the U.S.-China trade deficit.",2019-11-01T18:37:02Z,UCHHphhxRHZpMS96kUr4DuwA,w5RWUolzwWU,Iowa PBS,none
77,Mexico could be the US-China trade war&#39;s biggest winner: CEO | Street Signs Asia,"Tony Nash of Complete Intelligence says the passing of the USMCA will help Mexico in a ""big way"" and he will be ""looking hard"" for opportunities in the country.",2019-07-11T09:00:08Z,UCF8HUTbUwPKh2Q-KpGOCVGw,kM6DL4qifsg,CNBC International TV,none
78,The Heat: US-China Trade War Pt 2,"To discuss this, tonight's panel includes, Yan Liang, an associate professor of Economics at Willamette University; Qinduo Xu, a senior researcher with Pangoal ...",2018-09-08T00:13:42Z,UCj7wKsOBhRD9Jy4yahkMRMw,YNXGY-luDRw,CGTN America,none
79,US-China Trade War: Effect on Financial Markets and Economy,"""In this video, """"US-China Trade War: Effect on Financial Markets and Economy"""", we will be talking about the trade war between China and the US.",2020-05-05T10:30:53Z,UCmkNoDHBfKzPnXWTNoYQc7A,8wkYs8eRjIQ,Stock Edge,none
80,Escalation of the US-China Trade War,In this edition of Wilson Center NOW we are joined by the Director of the Kissinger Institute Robert Daly who discusses the latest in the escalating US-China ...,2019-05-16T17:16:24Z,UCckWkzE1dVhYCtAVrs3sC0g,R1e25iNVJ0M,WoodrowWilsonCenter,none
81,"What Is US-China Trade War &amp; Its Effect On Indian Economy, Stock Market And How To Deal With It?",You can open your Demat and Trading account here_ ✔️Zerodha: https://zerodha.com/open-account?c=ZMPZDJ ✔️Upstox: ...,2019-08-24T15:55:26Z,UCe3qdG0A_gr-sEdat5y2twQ,iEdjPZquqNo,CA Rachana Phadke Ranade,none
82,Kyle Bass on the US–China trade war: It&#39;s about &#39;intellectual property...industrial espionage&#39;,Hayman Capital's Kyle Bass discusses the U.S. China trade war and the protests in Hong Kong. Subscribe to Yahoo Finance: https://yhoo.it/2fGu5Bb About ...,2019-08-06T00:05:55Z,UCEAZeUIeJs0IjQiqTCdVSIg,F63zjoUGxx0,Yahoo Finance,none
83,The U.S. and China Will Both Lose the Trade War || Debate #3,"Will China and the U.S. both lose if the trade war continues? Debaters: Ian Bremmer, Founder and President, Eurasia Group Michèle Flournoy, Co-Founder ...",2019-03-01T16:33:41Z,UCenxjWEkb0Sv67vejOgZ3Tg,9CddK86g90o,IntelligenceSquared Debates,none
84,US-China trade war: South Korea confirms talks with Washington on Huawei,"South Korea has confirmed it is in talks with Washington regarding Huawei, amid reports that the US is lobbying Seoul to stop using products from the Chinese ...",2019-05-23T15:06:26Z,UC83jt4dlz1Gjl58fzQrrKZg,XeVsdEheDmQ,CNA,none
85,Explained: US-China trade war (Impact on the Middle East),"Just when we think the US-China trade war couldn't get worse, China's Xi Jinping would play his surprise “trump” card out of the blue or US President Donald ...",2019-06-12T06:00:05Z,UCdqOPv2Q68yQWs2PxVyzyCQ,rcdxNHwZ7J4,Arabian Business,none
86,US-China trade war: Trump says tariffs are &quot;excellent&quot; alternative to trade deal with China,US has increased tariffs on US$200 billion worth of Chinese goods from 10% to 25%. The hike was announced hours before China was set to sit down with the ...,2019-05-10T14:50:18Z,UC83jt4dlz1Gjl58fzQrrKZg,NG2qKtmjIDU,CNA,none
87,Ritholtz&#39;s Josh Brown on the US-China trade war and stocks reaching record highs,"Josh Brown, Ritholtz Wealth Management, and Jenny Harrington, Gilman Hill Asset Management CEO and portfolio manager, join 'Fast Money Halftime Report' ...",2019-12-12T19:18:16Z,UCrp_UI8XtuYfpiqluWLD7Lw,-AXPEKuvUS4,CNBC Television,none
88,"Markets Haven&#39;t Seen Full Impact of U.S.-China Trade War, JPMorgan Says","Jun.03 -- John Normand, head of cross asset fundamental strategy at JPMorgan, discusses the U.S. economy, Federal Reserve policy, bond yields and the ...",2019-06-03T15:48:07Z,UCIALMKvObZNtJ6AmdCLP7Lg,sqUhSiErJ2M,Bloomberg Markets and Finance,none
89,China - US relations: How a trade war became a tech war - BBC News,"The US and China have been struggling for economic supremacy. But their fight has moved on from charging new taxes on imports, to attacking each others' ...",2019-06-22T09:00:00Z,UC16niRr50-MSBwiO3YDb3RA,BgTKh4Rx-LI,BBC News,none
90,🇨🇳🇺🇸 US-China trade war | Al Jazeera English,"China has hit back hard at the US for imposing tariffs on $50bn worth of Chinese goods. Chinese officials have accused the US of provoking a trade war, ...",2018-06-16T11:06:00Z,UCNye-wNBqNL5ZzHSJj3l8Bg,6Z6Z-S_ekaQ,Al Jazeera English,none
91,FT Forecasts 2018: A US-China trade war,FT chief foreign affairs commentator Gideon Rachman predicts that next year could see the US aim tariffs at China. If China retaliates with its own tariffs we could ...,2017-12-27T06:28:57Z,UCoUxsWakJucWg46KW5RsvPw,oYU_sbbhbMM,Financial Times,none
92,American Workers Feel The Impact Of U.S.-China Trade War | NBC Nightly News,"With tariffs on products like lobster or soybeans, some economists suggest two million American jobs could be at risk in a prolonged trade war and consumers ...",2018-07-07T00:23:40Z,UCeY0bbntWzzVIaj2z3QigXg,asQ5HsPU0fw,NBC News,none
93,Crude oil could be the next casualty in US-China trade war,China has threatened to impose a 25 percent tariff on U.S. oil imports if the U.S. goes ahead with its plan to slap tariffs on more Chinese goods. This comes at a ...,2018-08-03T00:44:14Z,UCj7wKsOBhRD9Jy4yahkMRMw,Q3zwUrchu9Y,CGTN America,none
94,Is China Weaponizing Its Currency? | US China Trade War,The US and China are in a trade war and China is weaponizing its currency to fight back. But who will be the real loser? American businesses and farmers?,2019-08-14T18:00:03Z,UCgFP46yVT-GG4o1TgXn-04Q,TlbXMx8c8Lc,China Uncensored,none
